"";"2018";"2017";"Компания";"Регион";"Основной вид   деятельности компании";"Отрасль";"Выручка в 2016   году, млн руб.";"Выручка в 2015   году, млн руб.";"Прирост выручки   в 2016 году, %";"Чистая прибыль в   2016 году, млн руб.";"Чистая прибыль в   2015 году, млн руб."
"43";1;2;"ООО   «МЕГАМИКС»";"Волгоградская   область";"Производство   кормового микробиологического белка, кормовых витаминов и др.";"АПК   и пищевая промышленность";108657;78313;38;24748;15335
"44";2;1;"ОАО   «САХАРНЫЙ ЗАВОД “ЛЕНИНГРАДСКИЙ”»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";70978;81897;-13;1828;9325
"45";3;9;"ОАО   «ВЕРХНЕБАКАНСКИЙ ЦЕМЕНТНЫЙ ЗАВОД»";"Краснодарский   край";"Производство   цемента";"Промышленность   строительных материалов";54381;38338;41;1718;1414
"46";4;5;"ООО   «ПРОИЗВОДСТВЕННО-КОММЕР­ЧЕСКАЯ ФИРМА “АТЛАНТИС-ПАК”»";"Ростовская   область";"Производство   пластмассовых плит, полос, труб и профилей";"Химическая   промышленность";44756;38681;15;2944;6645
"47";5;3;"АО   «УСПЕНСКИЙ САХАРНИК»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";42791;47460;-9;11576;11847
"48";6;7;"ОАО   «ЭНЕРГОПРОМ - НОВОЧЕРКАССКИЙ ЭЛЕКТРОДНЫЙ ЗАВОД»";"Ростовская   область";"Производство   графита, продуктов на основе графита или прочих форм углерода";"Цветная   металлургия";39292;26096;50;10776;6923
"49";2;108657;"ЗАО   «СЫРОДЕЛЬНЫЙ КОМБИНАТ “ЛЕНИНГРАДСКИЙ”»";"Краснодарский   край";"Производство   молочной продукции";"АПК   и пищевая промышленность";78313;38;24748;15335;1
"50";1;70978;"ПАО   «КРЫМСКИЙ СОДОВЫЙ ЗАВОД»";"Республика   Крым";"Производство   прочих основных неорганических химических веществ";"Химическая   промышленность";81897;-13;1828;9325;2
"51";9;54381;"АО   «АР КАРТОН»";"Краснодарский   край";"Производство   гофрированной бумаги и картона, бумажной и картонной тары";"Деревообрабатывающая   и целлюлозно-бумажная";38338;41;1718;1414;3
"52";5;44756;"АО   «КРАСНОДАРСКИЙ ПРИБОРНЫЙ ЗАВОД “КАСКАД”»";"Краснодарский   край";"Производство   оборудования спецназначения, не включённого в др. группировки";"Машиностроение   и металлообработка";38681;15;2944;6645;4
"53";3;42791;"АО   «ВОЛТАЙР-ПРОМ»";"Волгоградская   область";"Производство   резиновых шин, покрышек и камер; восстановление шин и покрышек";"Химическая   промышленность";47460;-9;11576;11847;5
"54";7;39292;"АО   «КАВКАЗЦЕМЕНТ»";"Карачаево-Черкесия";"Производство   цемента";"Промышленность   строительных материалов";26096;50;10776;6923;6
"55";108657;78313;"ООО   «НОВЫЕ ТЕХНОЛОГИИ»";"Краснодарский   край";"Производство   пластмасс и синтетических смол в первичных формах";"Химическая   промышленность";38;24748;15335;1;2
"56";70978;81897;"ООО   «КУБАНЬ-ВИНО»";"Краснодарский   край";"Производство   вина из винограда";"АПК   и пищевая промышленность";-13;1828;9325;2;1
"57";54381;38338;"ООО   «КНАУФ ГИПС КУБАНЬ»";"Краснодарский   край";"Производство   гипсовых изделий для использования в строительстве";"Промышленность   строительных материалов";41;1718;1414;3;9
"58";44756;38681;"АО   «ЭЛЕКТРОАВТОМАТИКА»";"Ставропольский   край";"Производство   электрической распределительной и регулирующей аппаратуры";"Машиностроение   и металлообработка";15;2944;6645;4;5
"59";42791;47460;"ООО   «ТАМАНСКИЙ ЗАВОД ПЕРЕРАБОТКИ МАСЛОСЕМЯН»";"Краснодарский   край";"Производство   растительных и животных масел и жиров";"АПК   и пищевая промышленность";-9;11576;11847;5;3
"60";39292;26096;"ООО   «ЮЖНАЯ СОКОВАЯ КОМПАНИЯ»";"Краснодарский   край";"Производство   соковой продукции из фруктов и овощей";"АПК   и пищевая промышленность";50;10776;6923;6;7
"61";78313;38;"ОАО   «ЭЛЕКТРОЦИНК»";"Северная   Осетия-Алания";"Производство   свинца, цинка и олова";"Цветная   металлургия";24748;15335;1;2;108657
"62";81897;-13;"АО   «КАМЕНСКВОЛОКНО»";"Ростовская   область";"Производство   химических волокон";"Химическая   промышленность";1828;9325;2;1;70978
"63";38338;41;"АО   «КЛЕВЕР»";"Ростовская   область";"Производство   машин для уборки урожая";"Машиностроение   и металлообработка";1718;1414;3;9;54381
"64";38681;15;"ООО   «ГАРДИАН СТЕКЛО РОСТОВ»";"Ростовская   область";"Производство   стекла и изделий из стекла";"Стекольная   промышленность";2944;6645;4;5;44756
"65";47460;-9;"ЗАО   «ДОНМАСЛОПРОДУКТ»";"Ростовская   область";"Производство   растительных и животных масел и жиров";"АПК   и пищевая промышленность";11576;11847;5;3;42791
"66";26096;50;"АО   «СИЛД ЭЙР КАУСТИК»";"Волгоградская   область";"Производство   пластмассовых изделий для упаковывания товаров";"Химическая   промышленность";10776;6923;6;7;39292
"67";38;24748;"ООО   «КЛААС»";"Краснодарский   край";"Производство   машин и оборудования для сельского и лесного хозяйства";"Машиностроение   и металлообработка";15335;1;2;108657;78313
"68";-13;1828;"ООО   «АДЫГЕЙСКИЙ КОМБИКОРМОВЫЙ ЗАВОД»";"Республика   Адыгея";"Производство   готовых кормов для животных";"АПК   и пищевая промышленность";9325;2;1;70978;81897
"69";41;1718;"ОАО   «АГРОПРОМЫШЛЕННАЯ ФИРМА “ФАНАГОРИЯ”»";"Краснодарский   край";"Производство   вина из винограда";"АПК   и пищевая промышленность";1414;3;9;54381;38338
"70";15;2944;"ООО   «РОСТОВСКИЙ ПРЕССОВО-РАСКРОЙНЫЙ ЗАВОД»";"Ростовская   область";"Ковка,   прессование, штамповка и профилирование, порошковая металлургия";"Чёрная   металлургия";6645;4;5;44756;38681
"71";-9;11576;"ЗАО   «ТРУБНЫЙ ЗАВОД “ПРОФИЛЬ-АКРАС»” ИМЕНИ МАКАРОВА В.<U+2005>В.»";"Волгоградская   область";"Производство   стальных труб, полых профилей и фитингов";"Чёрная   металлургия";11847;5;3;42791;47460
"72";50;10776;"ОАО   «СОЧИНСКИЙ МЯСОКОМБИНАТ»";"Краснодарский   край";"Производство   солёного, варёного, запечённого, копчёного, вяленого и прочего мяса";"АПК   и пищевая промышленность";6923;6;7;39292;26096
"73";24748;15335;"ПАО   «СТАВРОПОЛЬСКИЙ РАДИОЗАВОД “СИГНАЛ”»";"Ставропольский   край";"Производство   радиолокационной, радионавигационной аппаратуры";"Машиностроение   и металлообработка";1;2;108657;78313;38
"74";1828;9325;"ООО   «ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ “СТАНК”»";"Краснодарский   край";"Обработка   металлов и нанесение покрытий на металлы";"Машиностроение   и металлообработка";2;1;70978;81897;-13
"75";1718;1414;"ЗАО   «АБРАУ-ДЮРСО»";"Краснодарский   край";"Производство   вина из винограда";"АПК   и пищевая промышленность";3;9;54381;38338;41
"76";2944;6645;"ОАО   «ВОЛЖСКИЙ АБРАЗИВНЫЙ ЗАВОД»";"Волгоградская   область";"Производство   абразивных изделий";"Промышленность   строительных материалов";4;5;44756;38681;15
